Kraj;PKB;Zwolnienia ze szpitala;Użycie Internetu;Budżet na rozwój;Produkcja energii;Wydajność pracowników;Zarobki roczne;Wskaźnik konsumpcji
Belgium;36110;1971,52;90,28;1,33;6,45;129,1;25497,3;118
Bulgaria;6630;4139,285714;67,95;0,61;2,45;49;10640,64;53
Czechia;18460;2825,028571;87,03;1,51;4,59;85,7;15258,18;93
Denmark;48970;1707,9;97,06;1,8;15,82;114,3;25672,05;126
Germany ;35950;3650,014286;92,98;2,18;9,65;103,8;28606,76;121
Estonia;15410;3194,133333;90,23;1,6;4;77,8;16001,32;82
Ireland;59560;1138,914286;90,34;0,93;19,4;188,2;26225,73;189
Greece;17780;2416,033333;75,67;1,47;7,31;69,3;17210,65;66
Spain;25180;1293,771429;90,72;1,23;8,85;98,5;22155,97;91
France;33250;1911,814286;89,39;1,13;8,9;117,7;24322,06;106
Croatia;12710;1941,142857;79,08;1,65;5,87;74,6;13140,17;67
Italy;27230;2022,442857;75,57;1,13;10,29;105,7;20715,02;97
Cyprus;25500;691,8285714;86,06;0,91;7,75;86;21985,37;93
Latvia;12540;3076,342857;86,14;0,59;4,86;69,2;11045,66;69
Lithuania;14060;4509,1;81,58;0,9;4,91;79,2;13052,07;84
Luxembourg;83590;1804,542857;96,42;1,43;11,43;157,6;32814,54;251
Hungary;13310;3595,5;80,37;0,59;4,87;70,8;13040,21;73
Malta;22890;1431,214286;85,78;0,6;3,65;97;20891,92;103
Netherlands;41980;1548;96,05;1,65;8,32;107;31431,5;127
Austria;38090;3585,757143;87,75;1,56;9,72;115,2;28211,57;126
Poland;13070;2663,742857;80,44;1,06;4,72;79,8;16106,81;73
Portugal;18670;1096,833333;75,35;0,82;7,73;76,4;15436,92;79
Romania;9300;3106,628571;73,66;0,53;5,43;73;12004,9;70
Slovenia;20770;2061,642857;83,11;1,05;6,28;82,8;14845,18;89
Slovakia;15960;2814,35;82,85;0,94;5,11;73,6;11189,4;71
Finland;37150;2672,471429;95,29;1,57;5,94;105,5;25013,84;109
Sweden;44180;2143,76;97,55;1,49;8,77;112,8;26080,86;119
Iceland;38920;1192,533333;99,03;2,11;2,19;105,4;29041,87;126
Norway;70150;731,8;98,4;1,99;12,61;130;30622,73;147
Switzerland;61950;2253,585714;96,51;2,9;7,66;123,1;40872,86;153
UK;32910;1834,271429;95,57;1,36;11,88;98,6;28834,18;104
